ts,funding
2021-01-01 00:00:00.002,0.00022753
2021-01-01 08:00:00.006,0.00026336
2021-01-01 16:00:00.003,0.00034457
2021-01-02 00:00:00.000,0.0001
2021-01-02 08:00:00.000,0.00020151
2021-01-02 16:00:00.006,0.00115471
2021-01-03 00:00:00.018,0.00124058
2021-01-03 08:00:00.000,0.00114744
2021-01-03 16:00:00.002,0.00155006
2021-01-04 00:00:00.000,0.00164126
2021-01-04 08:00:00.000,0.00236482
2021-01-04 16:00:00.000,0.00056137
2021-01-05 00:00:00.020,0.00088338
2021-01-05 08:00:00.003,0.00047166
2021-01-05 16:00:00.003,0.00062904
2021-01-06 00:00:00.010,0.00127193
2021-01-06 08:00:00.003,0.00210008
2021-01-06 16:00:00.000,0.00149253
2021-01-07 00:00:00.007,0.00100316
2021-01-07 08:00:00.000,0.00142744
2021-01-07 16:00:00.004,0.00099841
2021-01-08 00:00:00.000,0.00213517
2021-01-08 08:00:00.000,0.00092044
2021-01-08 16:00:00.000,0.00131892
2021-01-09 00:00:00.009,0.00062954
2021-01-09 08:00:00.004,0.00066918
2021-01-09 16:00:00.000,0.00146942
2021-01-10 00:00:00.000,0.00145604
2021-01-10 08:00:00.005,0.00120632
2021-01-10 16:00:00.000,0.00052988
2021-01-11 00:00:00.000,0.00086486
2021-01-11 08:00:00.012,0.00081553
2021-01-11 16:00:00.000,0.00053444
2021-01-12 00:00:00.000,0.00033526
2021-01-12 08:00:00.000,0.00050855
2021-01-12 16:00:00.008,0.00054945
2021-01-13 00:00:00.001,0.00014768
2021-01-13 08:00:00.000,0.0002259
2021-01-13 16:00:00.003,0.0007053
2021-01-14 00:00:00.000,0.00078331
2021-01-14 08:00:00.012,0.00072627
2021-01-14 16:00:00.000,0.00068503
2021-01-15 00:00:00.002,0.00055628
2021-01-15 08:00:00.000,0.00064483
2021-01-15 16:00:00.004,0.00118185
2021-01-16 00:00:00.000,0.0001
2021-01-16 08:00:00.008,0.00032573
2021-01-16 16:00:00.000,0.00068496
2021-01-17 00:00:00.009,0.00033109
2021-01-17 08:00:00.000,0.00030276
2021-01-17 16:00:00.001,0.0001
2021-01-18 00:00:00.000,0.00055375
2021-01-18 08:00:00.004,0.00049321
2021-01-18 16:00:00.000,0.0010355
2021-01-19 00:00:00.000,0.0006167
2021-01-19 08:00:00.005,0.0014009
2021-01-19 16:00:00.012,0.00158467
2021-01-20 00:00:00.012,0.00088178
2021-01-20 08:00:00.001,0.00017967
2021-01-20 16:00:00.001,0.00016482
2021-01-21 00:00:00.000,0.00042078
2021-01-21 08:00:00.000,0.00048357
2021-01-21 16:00:00.004,0.00026589
2021-01-22 00:00:00.012,0.0001
2021-01-22 08:00:00.003,0.0001
2021-01-22 16:00:00.001,0.0001
2021-01-23 00:00:00.000,0.0001
2021-01-23 08:00:00.002,0.00012182
2021-01-23 16:00:00.000,0.0001
2021-01-24 00:00:00.001,0.0001
2021-01-24 08:00:00.011,0.00014368
2021-01-24 16:00:00.005,0.00041388
2021-01-25 00:00:00.007,0.0001
2021-01-25 08:00:00.012,0.00052253
2021-01-25 16:00:00.000,0.00042414
2021-01-26 00:00:00.007,0.00013506
2021-01-26 08:00:00.000,0.0001
2021-01-26 16:00:00.000,0.0001
2021-01-27 00:00:00.000,0.0001
2021-01-27 08:00:00.011,0.0001
2021-01-27 16:00:00.003,0.0001
2021-01-28 00:00:00.000,0.0001
2021-01-28 08:00:00.000,0.0001
2021-01-28 16:00:00.000,0.00022262
2021-01-29 00:00:00.009,0.0001
