ts,funding
2021-01-01 00:00:00.002,0.00033709
2021-01-01 08:00:00.006,0.00083389
2021-01-01 16:00:00.003,0.00071869
2021-01-02 00:00:00.000,0.00033903
2021-01-02 08:00:00.000,0.00040482
2021-01-02 16:00:00.006,0.0006868
2021-01-03 00:00:00.018,0.00088601
2021-01-03 08:00:00.000,0.00092887
2021-01-03 16:00:00.002,0.00230285
2021-01-04 00:00:00.000,0.00261413
2021-01-04 08:00:00.000,0.00245032
2021-01-04 16:00:00.000,0.00036695
2021-01-05 00:00:00.020,0.00079845
2021-01-05 08:00:00.003,0.00061721
2021-01-05 16:00:00.003,0.00067597
2021-01-06 00:00:00.010,0.00141642
2021-01-06 08:00:00.003,0.0013033
2021-01-06 16:00:00.000,0.00215912
2021-01-07 00:00:00.007,0.00088681
2021-01-07 08:00:00.000,0.00153222
2021-01-07 16:00:00.004,0.00164173
2021-01-08 00:00:00.000,0.00159229
2021-01-08 08:00:00.000,0.00062764
2021-01-08 16:00:00.000,0.00144367
2021-01-09 00:00:00.009,0.00071493
2021-01-09 08:00:00.004,0.00109919
2021-01-09 16:00:00.000,0.00140771
2021-01-10 00:00:00.000,0.00231006
2021-01-10 08:00:00.005,0.00221082
2021-01-10 16:00:00.000,0.00097807
2021-01-11 00:00:00.000,0.00086421
2021-01-11 08:00:00.012,0.0001
2021-01-11 16:00:00.000,0.0001937
2021-01-12 00:00:00.000,0.0001
2021-01-12 08:00:00.000,0.00047675
2021-01-12 16:00:00.008,0.00023066
2021-01-13 00:00:00.001,0.0001
2021-01-13 08:00:00.000,0.000215
2021-01-13 16:00:00.003,0.00037761
2021-01-14 00:00:00.000,0.00033954
2021-01-14 08:00:00.012,0.00041809
2021-01-14 16:00:00.000,0.00086241
2021-01-15 00:00:00.002,0.00045552
2021-01-15 08:00:00.000,0.00073099
2021-01-15 16:00:00.004,0.00053754
2021-01-16 00:00:00.000,0.0001
2021-01-16 08:00:00.008,0.00022197
2021-01-16 16:00:00.000,0.00093247
2021-01-17 00:00:00.009,0.00046875
2021-01-17 08:00:00.000,0.0002722
2021-01-17 16:00:00.001,0.0002966
2021-01-18 00:00:00.000,0.00066897
2021-01-18 08:00:00.004,0.00051355
2021-01-18 16:00:00.000,0.00114871
2021-01-19 00:00:00.000,0.00099437
2021-01-19 08:00:00.005,0.00147864
2021-01-19 16:00:00.012,0.00158999
2021-01-20 00:00:00.012,0.000866
2021-01-20 08:00:00.001,0.00042659
2021-01-20 16:00:00.001,0.00044091
2021-01-21 00:00:00.000,0.00032927
2021-01-21 08:00:00.000,0.00058177
2021-01-21 16:00:00.004,0.00011607
2021-01-22 00:00:00.012,0.0001
2021-01-22 08:00:00.003,0.0001
2021-01-22 16:00:00.001,0.00020293
2021-01-23 00:00:00.000,0.0001
2021-01-23 08:00:00.002,0.0001
2021-01-23 16:00:00.000,0.00049693
2021-01-24 00:00:00.001,0.0003605
2021-01-24 08:00:00.011,0.00026554
2021-01-24 16:00:00.005,0.00051503
2021-01-25 00:00:00.007,0.00020681
2021-01-25 08:00:00.012,0.00069035
2021-01-25 16:00:00.000,0.00073041
2021-01-26 00:00:00.007,0.0003803
2021-01-26 08:00:00.000,0.00023016
2021-01-26 16:00:00.000,0.0001
2021-01-27 00:00:00.000,0.0001
2021-01-27 08:00:00.011,0.00014042
2021-01-27 16:00:00.003,0.0001
2021-01-28 00:00:00.000,0.0001
2021-01-28 08:00:00.000,0.0001
2021-01-28 16:00:00.000,0.00018491
2021-01-29 00:00:00.009,0.0001
2021-01-29 08:00:00.000,0.00047495
2021-01-29 16:00:00.000,0.00128866
2021-01-30 00:00:00.000,0.00027184
2021-01-30 08:00:00.000,0.00019264
2021-01-30 16:00:00.000,0.0001503
2021-01-31 00:00:00.009,0.00023511
2021-01-31 08:00:00.000,0.00050116
2021-01-31 16:00:00.000,0.00042287
2021-02-01 00:00:00.001,0.00015568
2021-02-01 08:00:00.014,0.00049154
2021-02-01 16:00:00.000,0.00068381
2021-02-02 00:00:00.000,0.00039644
2021-02-02 08:00:00.006,0.00060308
2021-02-02 16:00:00.000,0.0017367
2021-02-03 00:00:00.009,0.00174116
2021-02-03 08:00:00.006,0.00194027
2021-02-03 16:00:00.006,0.00242419
2021-02-04 00:00:00.005,0.00200839
2021-02-04 08:00:00.000,0.00165361
2021-02-04 16:00:00.011,0.00130949
2021-02-05 00:00:00.009,0.00147478
2021-02-05 08:00:00.004,0.00153243
2021-02-05 16:00:00.000,0.0021535
2021-02-06 00:00:00.008,0.00147859
2021-02-06 08:00:00.009,0.00150822
2021-02-06 16:00:00.000,0.0014857
2021-02-07 00:00:00.000,0.00176913
2021-02-07 08:00:00.005,0.00100383
2021-02-07 16:00:00.001,0.00115135
2021-02-08 00:00:00.000,0.00089844
2021-02-08 08:00:00.001,0.00084823
2021-02-08 16:00:00.000,0.0025342
2021-02-09 00:00:00.010,0.00207569
2021-02-09 08:00:00.006,0.00252287
2021-02-09 16:00:00.007,0.00152728
2021-02-10 00:00:00.009,0.00201754
2021-02-10 08:00:00.014,0.00260575
2021-02-10 16:00:00.005,0.00135302
2021-02-11 00:00:00.000,0.00120385
2021-02-11 08:00:00.000,0.00100753
2021-02-11 16:00:00.000,0.00206256
2021-02-12 00:00:00.000,0.00108832
2021-02-12 08:00:00.000,0.00138126
2021-02-12 16:00:00.000,0.00261485
2021-02-13 00:00:00.001,0.00315958
2021-02-13 08:00:00.003,0.00273697
2021-02-13 16:00:00.000,0.00120895
2021-02-14 00:00:00.013,0.0015995
2021-02-14 08:00:00.000,0.00207456
2021-02-14 16:00:00.008,0.00185736
2021-02-15 00:00:00.000,0.00101492
2021-02-15 08:00:00.006,0.0001872
2021-02-15 16:00:00.000,0.00067762
2021-02-16 00:00:00.001,0.00089249
2021-02-16 08:00:00.000,0.00119503
2021-02-16 16:00:00.010,0.00110329
2021-02-17 00:00:00.005,0.00059185
2021-02-17 08:00:00.010,0.00066878
2021-02-17 16:00:00.008,0.00200817
2021-02-18 00:00:00.012,0.0019024
2021-02-18 08:00:00.000,0.00225619
2021-02-18 16:00:00.009,0.00200941
2021-02-19 00:00:00.010,0.00164551
2021-02-19 08:00:00.002,0.00163006
2021-02-19 16:00:00.008,0.00266546
2021-02-20 00:00:00.000,0.00197886
2021-02-20 08:00:00.009,0.0021457
2021-02-20 16:00:00.000,0.00209545
2021-02-21 00:00:00.007,0.00046022
2021-02-21 08:00:00.012,0.00099408
2021-02-21 16:00:00.001,0.00131861
2021-02-22 00:00:00.006,0.00091718
2021-02-22 08:00:00.002,0.00078038
2021-02-22 16:00:00.000,0.0002362
2021-02-23 00:00:00.000,0.0001
2021-02-23 08:00:00.006,0.0001
2021-02-23 16:00:00.000,0.0001
2021-02-24 00:00:00.012,0.0001
2021-02-24 08:00:00.016,0.0001
2021-02-24 16:00:00.011,0.00022105
2021-02-25 00:00:00.007,0.0001
2021-02-25 08:00:00.000,0.0001
2021-02-25 16:00:00.010,0.00060192
2021-02-26 00:00:00.000,0.00033087
2021-02-26 08:00:00.025,0.0001
2021-02-26 16:00:00.010,0.0001
2021-02-27 00:00:00.001,0.0001
2021-02-27 08:00:00.000,0.00020654
2021-02-27 16:00:00.000,0.0001
2021-02-28 00:00:00.021,0.0001
2021-02-28 08:00:00.009,0.0001
2021-02-28 16:00:00.000,0.00010125
2021-03-01 00:00:00.000,0.00025052
2021-03-01 08:00:00.003,0.00021524
2021-03-01 16:00:00.001,0.0001
2021-03-02 00:00:00.000,0.0001
2021-03-02 08:00:00.000,0.0001
2021-03-02 16:00:00.004,0.00036008
2021-03-03 00:00:00.000,0.00017249
2021-03-03 08:00:00.016,0.0001
2021-03-03 16:00:00.000,0.00041146
2021-03-04 00:00:00.000,0.0002364
2021-03-04 08:00:00.015,0.0001
2021-03-04 16:00:00.001,0.00015913
2021-03-05 00:00:00.000,0.0001
2021-03-05 08:00:00.002,0.0001
2021-03-05 16:00:00.008,0.0001
2021-03-06 00:00:00.000,0.0001
2021-03-06 08:00:00.000,0.0001
2021-03-06 16:00:00.000,0.00033826
2021-03-07 00:00:00.006,0.0001857
2021-03-07 08:00:00.005,0.00039066
2021-03-07 16:00:00.008,0.00069564
2021-03-08 00:00:00.000,0.00028872
2021-03-08 08:00:00.000,0.00051949
2021-03-08 16:00:00.006,0.00025158
2021-03-09 00:00:00.000,0.00058148
2021-03-09 08:00:00.000,0.00096404
2021-03-09 16:00:00.000,0.00124389
2021-03-10 00:00:00.009,0.00074196
2021-03-10 08:00:00.006,0.00042892
