ts,open,high,low,close,volume
2022-10-19 00:00:00,1.0,100.0,1.0,6.8147,25662674.39
2022-10-19 04:00:00,6.8038,8.25,6.7456,7.5218,14073354.02
2022-10-19 08:00:00,7.5213,8.456,7.3176,7.8542,12333656.69
2022-10-19 12:00:00,7.8506,7.9205,7.4923,7.8265,6279149.01
2022-10-19 16:00:00,7.8262,7.8521,6.9085,7.0409,5020444.47
2022-10-19 20:00:00,7.0415,7.39,6.7827,7.3207,4233420.19
2022-10-20 00:00:00,7.3219,7.61,6.9,7.5168,3659654.24
2022-10-20 04:00:00,7.5161,7.748,7.3431,7.5067,3374837.83
2022-10-20 08:00:00,7.5046,7.67,7.3176,7.4892,2751412.92
2022-10-20 12:00:00,7.489,7.5033,7.18,7.2724,3455108.09
2022-10-20 16:00:00,7.2726,7.2726,6.988,7.2659,2183293.45
2022-10-20 20:00:00,7.2668,7.45,7.2301,7.3685,2550220.43
2022-10-21 00:00:00,7.3691,7.7,7.18,7.5793,3390108.8
2022-10-21 04:00:00,7.5751,7.6443,7.4192,7.4272,1952105.95
2022-10-21 08:00:00,7.4278,7.4772,7.0338,7.0721,4392474.71
2022-10-21 12:00:00,7.075,7.5099,6.99,7.4893,3994752.42
2022-10-21 16:00:00,7.4893,7.5821,7.3166,7.4874,1783269.1
2022-10-21 20:00:00,7.4885,7.5358,7.3872,7.498,1021270.71
2022-10-22 00:00:00,7.498,7.7,7.3565,7.4788,2102738.92
2022-10-22 04:00:00,7.4784,7.4941,7.3411,7.4862,1066145.94
2022-10-22 08:00:00,7.4852,8.55,7.4551,8.2349,4132356.0
2022-10-22 12:00:00,8.2348,8.9,8.0231,8.7251,7194820.53
2022-10-22 16:00:00,8.7194,9.3152,8.5837,8.7748,5139370.82
2022-10-22 20:00:00,8.7714,9.2363,8.73,8.9553,2773193.08
2022-10-23 00:00:00,8.9571,9.6,8.8806,9.44,4305676.96
2022-10-23 04:00:00,9.4418,10.1888,9.2953,10.0851,6951813.91
2022-10-23 08:00:00,10.0811,10.33,9.4722,9.6547,6472444.84
2022-10-23 12:00:00,9.652,9.75,9.296,9.592,5385314.52
2022-10-23 16:00:00,9.592,9.7099,9.0235,9.6662,5381971.12
2022-10-23 20:00:00,9.6685,9.8871,9.4507,9.7815,2913218.37
2022-10-24 00:00:00,9.7808,9.9152,9.3,9.4636,3134807.37
2022-10-24 04:00:00,9.4639,9.6566,9.2354,9.5892,2971085.41
2022-10-24 08:00:00,9.5852,9.718,9.4,9.5,2937616.94
2022-10-24 12:00:00,9.5,9.968,9.472,9.6948,7238643.5
2022-10-24 16:00:00,9.692,9.7538,9.4647,9.6462,2447155.55
2022-10-24 20:00:00,9.639,9.6533,9.3,9.5293,2111499.26
2022-10-25 00:00:00,9.5298,9.568,9.1001,9.2696,3114807.37
2022-10-25 04:00:00,9.2698,9.3358,9.05,9.1746,1856181.72
2022-10-25 08:00:00,9.1776,9.3068,9.0698,9.2177,2078314.53
2022-10-25 12:00:00,9.2178,9.48,9.1612,9.4247,3545529.32
2022-10-25 16:00:00,9.4284,9.4687,8.65,8.7992,7350224.19
2022-10-25 20:00:00,8.8,8.8363,8.5202,8.7863,3023428.32
2022-10-26 00:00:00,8.7833,8.8927,8.6061,8.8489,2017251.06
2022-10-26 04:00:00,8.8488,9.2863,8.7242,9.167,3240434.3
2022-10-26 08:00:00,9.167,9.219,8.8,8.9029,2838543.83
2022-10-26 12:00:00,8.9028,9.08,8.6877,8.9754,3202653.18
2022-10-26 16:00:00,8.9758,9.1247,8.772,8.8419,1766628.81
2022-10-26 20:00:00,8.843,9.2579,8.809,9.1951,2655984.24
2022-10-27 00:00:00,9.1911,9.5068,9.0934,9.1474,3481862.66
2022-10-27 04:00:00,9.1543,9.5606,9.1307,9.3847,3271392.22
2022-10-27 08:00:00,9.3843,9.6387,9.1549,9.2371,2985664.99
2022-10-27 12:00:00,9.2355,9.3,9.0346,9.1863,2091130.13
2022-10-27 16:00:00,9.1862,9.2399,9.0257,9.1853,1256252.68
2022-10-27 20:00:00,9.1902,9.2041,8.6,8.7013,3032331.02
2022-10-28 00:00:00,8.7015,8.8264,8.0579,8.1916,4534507.97
2022-10-28 04:00:00,8.1916,8.2673,7.9337,8.0051,2923023.13
2022-10-28 08:00:00,8.0051,8.1517,7.9715,8.0492,2732973.04
2022-10-28 12:00:00,8.0495,8.265,7.98,8.2,2234326.4
2022-10-28 16:00:00,8.1997,8.4299,8.1443,8.3258,1918293.49
2022-10-28 20:00:00,8.3269,8.448,8.1075,8.1845,1263197.15
2022-10-29 00:00:00,8.1827,8.3692,8.0501,8.3019,1625046.03
2022-10-29 04:00:00,8.3,8.3643,8.1531,8.2668,1686714.96
2022-10-29 08:00:00,8.2665,8.357,8.1052,8.1498,2071443.72
2022-10-29 12:00:00,8.1499,8.2262,7.77,7.9425,3264499.0
2022-10-29 16:00:00,7.9401,8.1914,7.592,7.8197,3566164.23
2022-10-29 20:00:00,7.8205,8.0526,7.8142,7.9532,1202333.74
2022-10-30 00:00:00,7.958,8.38,7.9546,8.1213,2827376.9
2022-10-30 04:00:00,8.1219,8.1399,7.6026,7.8932,2882428.05
2022-10-30 08:00:00,7.8923,7.9262,7.7515,7.8587,1755365.76
2022-10-30 12:00:00,7.8592,8.0496,7.71,7.8062,2268382.44
2022-10-30 16:00:00,7.8037,7.8986,7.65,7.8145,1313631.85
2022-10-30 20:00:00,7.8138,7.9499,7.6939,7.8049,810870.96
2022-10-31 00:00:00,7.8015,8.048,7.7211,7.9187,1681798.46
2022-10-31 04:00:00,7.9165,8.2211,7.7844,7.9245,2415159.36
2022-10-31 08:00:00,7.9246,8.065,7.8101,7.9869,1474617.07
2022-10-31 12:00:00,7.9854,7.999,7.7,7.8374,1880163.46
2022-10-31 16:00:00,7.8346,7.8799,7.7,7.7896,1028150.04
2022-10-31 20:00:00,7.7924,7.97,7.7854,7.9439,659318.04
2022-11-01 00:00:00,7.9337,8.083,7.815,7.9702,1036703.32
2022-11-01 04:00:00,7.9681,8.1884,7.8631,8.1201,1783826.22
2022-11-01 08:00:00,8.1209,8.2631,7.9473,8.0149,2177528.92
2022-11-01 12:00:00,8.0168,8.127,7.8851,7.9391,1323312.54
2022-11-01 16:00:00,7.9387,8.315,7.938,8.1371,1800602.62
2022-11-01 20:00:00,8.1347,8.299,8.1042,8.1925,970553.26
2022-11-02 00:00:00,8.1935,8.211,7.993,8.0157,1523691.75
2022-11-02 04:00:00,8.0176,8.0452,7.5232,7.6688,3179294.39
2022-11-02 08:00:00,7.6694,7.7777,7.15,7.2902,3654862.55
2022-11-02 12:00:00,7.2922,7.3727,7.2222,7.2321,1739137.74
2022-11-02 16:00:00,7.2343,7.48,7.1259,7.31,3638978.13
2022-11-02 20:00:00,7.3101,7.3892,7.2261,7.3707,1136817.69
2022-11-03 00:00:00,7.3745,7.543,7.3361,7.4725,1355793.28
2022-11-03 04:00:00,7.4716,7.5635,7.3757,7.3946,988773.89
2022-11-03 08:00:00,7.3983,7.4781,7.1952,7.2747,1283389.08
2022-11-03 12:00:00,7.2747,7.4287,7.2184,7.3578,1115270.65
2022-11-03 16:00:00,7.3586,7.3998,7.2989,7.39,623151.17
2022-11-03 20:00:00,7.3907,7.3972,7.1659,7.2328,948855.36
2022-11-04 00:00:00,7.2328,7.328,7.16,7.315,1273016.51
2022-11-04 04:00:00,7.3158,7.4534,7.2764,7.3977,1120442.42
2022-11-04 08:00:00,7.3967,7.4372,7.2713,7.2899,901813.0
2022-11-04 12:00:00,7.2914,7.5831,7.231,7.32,2289421.1
2022-11-04 16:00:00,7.3224,7.4778,7.264,7.4764,1200555.68
2022-11-04 20:00:00,7.4758,7.79,7.4556,7.6532,1848129.32
2022-11-05 00:00:00,7.6527,7.8692,7.5161,7.7256,2001896.4
2022-11-05 04:00:00,7.7251,7.762,7.6128,7.7561,1000260.78
2022-11-05 08:00:00,7.7561,7.7617,7.5279,7.6979,1157690.74
2022-11-05 12:00:00,7.6978,7.8126,7.5422,7.7366,1469374.09
2022-11-05 16:00:00,7.7359,7.998,7.7002,7.7984,2357876.09
2022-11-05 20:00:00,7.8006,7.86,7.5749,7.6249,1144891.99
2022-11-06 00:00:00,7.6215,7.855,7.5301,7.6754,1285008.37
2022-11-06 04:00:00,7.6758,8.1806,7.5774,8.0826,1925695.3
2022-11-06 08:00:00,8.0815,8.2321,7.89,7.9444,4023727.26
2022-11-06 12:00:00,7.9448,8.0729,7.7561,7.8006,2147437.4
2022-11-06 16:00:00,7.8006,7.8341,7.592,7.6579,1791107.8
2022-11-06 20:00:00,7.6554,7.7544,7.23,7.3095,2105006.01
2022-11-07 00:00:00,7.3095,7.4586,7.2658,7.3283,1370174.69
2022-11-07 04:00:00,7.3271,7.3499,6.8,6.8931,2490451.12
2022-11-07 08:00:00,6.8902,7.1295,6.8868,7.1157,1790209.26
2022-11-07 12:00:00,7.1162,7.19,6.9841,7.0892,2032073.22
2022-11-07 16:00:00,7.0929,7.2315,7.01,7.1885,1004467.89
2022-11-07 20:00:00,7.1885,7.2148,6.8139,7.0006,1273614.82
2022-11-08 00:00:00,7.0,7.0228,6.0124,6.2284,4174464.01
2022-11-08 04:00:00,6.2298,6.4207,6.0066,6.3906,4079785.41
2022-11-08 08:00:00,6.385,6.3919,6.1631,6.1873,1571920.62
2022-11-08 12:00:00,6.1881,6.249,5.9832,6.2064,1777771.78
2022-11-08 16:00:00,6.2067,6.7058,4.5,5.2153,9236231.14
2022-11-08 20:00:00,5.2145,5.4696,5.04,5.3762,2474633.17
2022-11-09 00:00:00,5.3737,5.39,4.8975,5.0142,2861792.85
2022-11-09 04:00:00,5.0151,5.0222,4.5873,4.6179,2847966.72
2022-11-09 08:00:00,4.618,4.6273,4.1231,4.5996,6838241.67
2022-11-09 12:00:00,4.5979,4.6519,4.2,4.26,3885285.3
2022-11-09 16:00:00,4.2669,4.6,3.68,4.0147,6078158.45
2022-11-09 20:00:00,4.0115,4.051,3.4356,3.9626,4606511.8
2022-11-10 00:00:00,3.9682,4.3331,3.8572,4.1935,5433438.52
2022-11-10 04:00:00,4.1921,4.4685,4.1464,4.3023,2510064.41
2022-11-10 08:00:00,4.305,4.3226,4.0349,4.1355,2237564.69
2022-11-10 12:00:00,4.135,5.5,4.1314,5.2444,6587311.11
2022-11-10 16:00:00,5.2478,5.439,4.842,5.0893,4243534.84
2022-11-10 20:00:00,5.0958,5.25,4.9821,5.1534,2149239.22
2022-11-11 00:00:00,5.1507,5.3128,4.7451,4.7958,2624284.0
2022-11-11 04:00:00,4.7961,5.1998,4.7258,5.1468,1592435.53
2022-11-11 08:00:00,5.1483,5.3446,5.0442,5.137,2093438.44
2022-11-11 12:00:00,5.1371,5.3052,4.5,4.7072,4102974.89
