ts,open,high,low,close,volume
2021-01-01 00:00:00,5.6576,5.7792,5.612,5.7431,206054.46
2021-01-01 04:00:00,5.7449,5.8614,5.6755,5.7214,228749.45
2021-01-01 08:00:00,5.7197,5.7716,5.6116,5.744,202990.9
2021-01-01 12:00:00,5.7443,5.8588,5.7158,5.739,266777.78
2021-01-01 16:00:00,5.74,5.7804,5.594,5.635,218197.82
2021-01-01 20:00:00,5.6282,5.7048,5.6078,5.6938,73026.7
2021-01-02 00:00:00,5.6962,5.7196,5.5725,5.6538,169743.42
2021-01-02 04:00:00,5.654,5.722,5.6206,5.6949,103975.19
2021-01-02 08:00:00,5.6949,5.7425,5.6222,5.6679,169260.71
2021-01-02 12:00:00,5.6657,5.8746,5.6302,5.8039,480109.27
2021-01-02 16:00:00,5.8052,5.9604,5.7615,5.8666,681445.43
2021-01-02 20:00:00,5.8641,5.866,5.601,5.7763,445288.61
2021-01-03 00:00:00,5.7765,5.9228,5.7594,5.89,284311.47
2021-01-03 04:00:00,5.8931,6.086,5.8301,6.019,512363.23
2021-01-03 08:00:00,6.0217,6.48,6.0015,6.313,1609700.86
2021-01-03 12:00:00,6.3101,6.6366,6.1928,6.349,1419198.12
2021-01-03 16:00:00,6.3522,6.6652,6.2501,6.3032,1231552.27
2021-01-03 20:00:00,6.3068,6.6676,6.3042,6.5678,627877.64
2021-01-04 00:00:00,6.569,6.9398,6.515,6.9337,998293.09
2021-01-04 04:00:00,6.9334,7.6398,6.8393,6.9821,3190978.98
2021-01-04 08:00:00,6.9821,7.1672,6.25,6.8089,3160623.77
2021-01-04 12:00:00,6.8127,7.22,6.7181,7.0234,1274221.52
2021-01-04 16:00:00,7.0171,7.063,6.68,6.9098,1000062.57
2021-01-04 20:00:00,6.9128,7.0569,6.7574,7.0374,635831.74
2021-01-05 00:00:00,7.0333,7.4169,6.7693,6.817,1794463.29
2021-01-05 04:00:00,6.817,6.9501,6.6902,6.8073,883203.44
2021-01-05 08:00:00,6.8116,7.1233,6.8116,7.1029,724309.97
2021-01-05 12:00:00,7.1019,7.1367,6.8002,6.9878,731620.77
2021-01-05 16:00:00,6.9906,7.1832,6.9045,7.0964,850089.51
2021-01-05 20:00:00,7.0913,7.284,7.047,7.271,581784.87
2021-01-06 00:00:00,7.2715,7.3,6.974,7.0614,501530.92
2021-01-06 04:00:00,7.0637,7.271,7.0449,7.1285,550402.58
2021-01-06 08:00:00,7.1318,7.5,7.0931,7.4316,928710.76
2021-01-06 12:00:00,7.4302,7.5641,7.315,7.4242,933751.73
2021-01-06 16:00:00,7.426,7.7564,7.426,7.492,1057109.35
2021-01-06 20:00:00,7.5073,7.6494,7.1927,7.5723,968915.01
2021-01-07 00:00:00,7.5777,7.65,7.4108,7.6256,656272.84
2021-01-07 04:00:00,7.6252,7.754,7.2157,7.2681,952103.64
2021-01-07 08:00:00,7.2658,7.4,7.0705,7.3697,992040.42
2021-01-07 12:00:00,7.3725,7.526,7.3001,7.4539,862864.39
2021-01-07 16:00:00,7.4522,7.6253,6.9959,7.2756,1493604.35
2021-01-07 20:00:00,7.2792,7.3469,7.1091,7.2142,499610.88
2021-01-08 00:00:00,7.2125,7.3192,6.6324,6.9502,1048486.81
2021-01-08 04:00:00,6.9501,7.0081,6.7704,6.9943,673070.08
2021-01-08 08:00:00,6.994,7.1841,6.89,7.0299,902957.32
2021-01-08 12:00:00,7.0299,7.1416,6.6582,6.8044,1967796.87
2021-01-08 16:00:00,6.8051,6.8859,6.67,6.7533,893635.62
2021-01-08 20:00:00,6.7515,6.9639,6.656,6.9565,514998.57
2021-01-09 00:00:00,6.9547,6.9999,6.7144,6.9101,921202.45
2021-01-09 04:00:00,6.9067,6.9107,6.7163,6.7969,565432.89
2021-01-09 08:00:00,6.8029,7.2136,6.735,7.0641,786899.66
2021-01-09 12:00:00,7.0662,7.4222,7.0091,7.24,1207172.23
2021-01-09 16:00:00,7.24,8.0763,7.1763,7.8929,3328328.1
2021-01-09 20:00:00,7.893,8.0438,7.6746,7.763,1338701.47
2021-01-10 00:00:00,7.7684,8.6278,7.7684,8.3339,2582929.09
2021-01-10 04:00:00,8.3339,9.98,8.3262,9.3669,2948351.51
2021-01-10 08:00:00,9.3671,9.4996,8.111,8.3003,3755810.46
2021-01-10 12:00:00,8.3096,8.9882,8.1206,8.67,2825240.98
2021-01-10 16:00:00,8.6684,8.9169,8.1841,8.6744,2190288.24
2021-01-10 20:00:00,8.6733,9.289,8.1904,8.8346,2208533.14
2021-01-11 00:00:00,8.8378,8.8812,6.94,7.5583,3010985.33
2021-01-11 04:00:00,7.5655,7.7597,7.1,7.446,3184657.02
2021-01-11 08:00:00,7.4465,8.0653,7.3113,7.5059,2099336.11
2021-01-11 12:00:00,7.509,7.6486,6.8628,6.9158,2761214.76
2021-01-11 16:00:00,6.9128,7.0254,6.2678,6.8517,3029706.81
2021-01-11 20:00:00,6.8479,7.3059,6.7265,7.2221,1289334.74
2021-01-12 00:00:00,7.2198,7.3141,6.8236,7.2861,1538368.2
2021-01-12 04:00:00,7.2861,7.6762,7.1655,7.589,1628829.85
2021-01-12 08:00:00,7.5889,7.6,7.1469,7.3306,1293745.53
2021-01-12 12:00:00,7.3356,7.4447,6.8922,7.1024,1212377.3
2021-01-12 16:00:00,7.1014,7.3462,7.0499,7.1442,687292.82
2021-01-12 20:00:00,7.1424,7.1668,6.8888,7.0544,559948.93
2021-01-13 00:00:00,7.0521,7.368,6.8553,7.2186,1270110.71
2021-01-13 04:00:00,7.2156,7.3377,6.9905,7.3019,883405.73
2021-01-13 08:00:00,7.2995,7.4111,7.1644,7.2651,763140.54
2021-01-13 12:00:00,7.2692,7.3852,7.1929,7.2731,455233.57
2021-01-13 16:00:00,7.2731,7.514,7.2214,7.4499,508639.87
