ts,open,high,low,close,volume
2021-01-01 00:00:00,4.0554,4.1572,4.0026,4.1539,122316.58
2021-01-01 04:00:00,4.1539,4.1799,4.0651,4.1052,72711.14
2021-01-01 08:00:00,4.0881,4.1949,4.0876,4.1823,72103.38
2021-01-01 12:00:00,4.1948,4.2,4.079,4.0856,134416.98
2021-01-01 16:00:00,4.0975,4.1799,3.9028,3.9551,146816.96
2021-01-01 20:00:00,3.9665,4.102,3.9526,4.0817,97207.37
2021-01-02 00:00:00,4.0997,4.1019,3.901,3.9393,97283.13
2021-01-02 04:00:00,3.9392,4.068,3.9027,3.9155,71127.28
2021-01-02 08:00:00,3.9156,3.9416,3.8317,3.8929,130121.37
2021-01-02 12:00:00,3.8929,3.9083,3.7237,3.8102,270623.33
2021-01-02 16:00:00,3.8102,3.8547,3.6156,3.696,390755.93
2021-01-02 20:00:00,3.6938,3.7239,3.5289,3.6083,231744.32
2021-01-03 00:00:00,3.6006,3.9125,3.5289,3.9125,226639.95
2021-01-03 04:00:00,3.9125,3.9699,3.6795,3.6879,170589.28
2021-01-03 08:00:00,3.6842,3.8247,3.6515,3.7862,154824.65
2021-01-03 12:00:00,3.7862,4.3799,3.7862,4.1843,818856.53
2021-01-03 16:00:00,4.1764,4.4492,4.0885,4.439,286679.16
2021-01-03 20:00:00,4.4392,4.5206,4.2765,4.4294,207360.44
2021-01-04 00:00:00,4.4294,4.539,4.265,4.45,175926.84
2021-01-04 04:00:00,4.455,4.6307,4.18,4.3828,289936.24
2021-01-04 08:00:00,4.3969,4.45,3.8552,4.3125,334155.03
2021-01-04 12:00:00,4.3126,4.75,4.22,4.67,344437.77
2021-01-04 16:00:00,4.67,4.7,4.261,4.5044,202809.76
2021-01-04 20:00:00,4.5043,4.544,4.2874,4.35,83731.68
2021-01-05 00:00:00,4.35,4.5777,4.3416,4.3647,187129.26
2021-01-05 04:00:00,4.3504,4.72,4.2867,4.6094,264214.44
2021-01-05 08:00:00,4.6006,4.8541,4.5952,4.8529,206332.51
2021-01-05 12:00:00,4.853,4.8556,4.4771,4.6324,238682.78
2021-01-05 16:00:00,4.6216,4.868,4.4648,4.5988,238949.12
2021-01-05 20:00:00,4.5861,4.73,4.5319,4.57,115901.85
2021-01-06 00:00:00,4.5776,4.5842,4.435,4.4528,62067.99
2021-01-06 04:00:00,4.4672,4.69,4.4179,4.5435,148564.74
2021-01-06 08:00:00,4.5504,4.656,4.5001,4.611,97868.23
2021-01-06 12:00:00,4.6269,4.73,4.433,4.5154,217299.25
2021-01-06 16:00:00,4.5139,4.9139,4.4167,4.584,512632.37
2021-01-06 20:00:00,4.6117,4.6999,4.3846,4.5886,186115.45
2021-01-07 00:00:00,4.5911,4.8227,4.5455,4.6519,134140.91
2021-01-07 04:00:00,4.6619,4.8,4.388,4.6052,210280.72
2021-01-07 08:00:00,4.6026,4.7698,4.5,4.56,170767.9
2021-01-07 12:00:00,4.5585,4.6029,4.4,4.5528,166791.77
2021-01-07 16:00:00,4.5657,4.628,4.0481,4.4138,354485.63
2021-01-07 20:00:00,4.4118,4.8,4.325,4.6597,347267.53
2021-01-08 00:00:00,4.6621,4.97,4.4215,4.5613,266275.04
2021-01-08 04:00:00,4.5622,4.91,4.5511,4.8662,165998.33
2021-01-08 08:00:00,4.8798,4.9357,4.6628,4.668,216145.48
2021-01-08 12:00:00,4.668,4.7924,4.5521,4.6097,153947.72
2021-01-08 16:00:00,4.6104,4.7706,4.5521,4.6018,108268.61
2021-01-08 20:00:00,4.6006,4.6891,4.5025,4.6571,66128.24
2021-01-09 00:00:00,4.6571,4.6723,4.5164,4.6073,57498.17
2021-01-09 04:00:00,4.6091,4.615,4.47,4.5855,59565.71
2021-01-09 08:00:00,4.5855,4.6787,4.5615,4.6594,60629.43
2021-01-09 12:00:00,4.663,4.8244,4.6408,4.6923,129123.9
2021-01-09 16:00:00,4.6923,4.7834,4.66,4.7003,60696.94
2021-01-09 20:00:00,4.7003,4.86,4.6815,4.742,110697.02
2021-01-10 00:00:00,4.7459,4.88,4.7407,4.7784,63229.82
2021-01-10 04:00:00,4.7738,4.87,4.7,4.7886,90626.11
2021-01-10 08:00:00,4.7931,4.7975,4.54,4.54,125692.58
2021-01-10 12:00:00,4.54,4.7043,4.487,4.6408,98763.89
2021-01-10 16:00:00,4.6306,4.6681,4.39,4.4732,90259.4
2021-01-10 20:00:00,4.4756,4.5009,4.3027,4.4075,249467.98
2021-01-11 00:00:00,4.4107,4.4107,3.9823,4.1041,194688.92
2021-01-11 04:00:00,4.1243,4.2248,3.8501,4.1028,199129.9
2021-01-11 08:00:00,4.1028,4.2035,4.0555,4.0625,79320.3
2021-01-11 12:00:00,4.0557,4.2929,3.8976,4.101,222229.19
2021-01-11 16:00:00,4.101,4.1689,3.75,4.04,191417.32
2021-01-11 20:00:00,4.0401,4.4303,4.0012,4.419,137340.5
2021-01-12 00:00:00,4.4303,4.6694,4.3026,4.6101,138543.97
2021-01-12 04:00:00,4.6127,4.73,4.523,4.6807,67719.22
2021-01-12 08:00:00,4.6835,4.6835,4.3593,4.5416,100008.46
2021-01-12 12:00:00,4.5413,4.6149,4.271,4.4945,122842.96
2021-01-12 16:00:00,4.493,4.69,4.4424,4.515,153602.79
2021-01-12 20:00:00,4.5151,5.034,4.4019,4.8839,513632.65
2021-01-13 00:00:00,4.8839,5.853,4.8498,5.42,1349889.51
2021-01-13 04:00:00,5.4252,5.7452,5.0501,5.7255,433880.01
2021-01-13 08:00:00,5.7308,5.7488,5.2,5.2099,408341.62
2021-01-13 12:00:00,5.2101,5.6952,5.1979,5.4178,483108.52
2021-01-13 16:00:00,5.4178,5.7199,5.3497,5.5389,320230.9
2021-01-13 20:00:00,5.54,5.6144,5.3662,5.4922,237937.0
2021-01-14 00:00:00,5.4922,6.32,5.4712,5.7958,447656.63
2021-01-14 04:00:00,5.805,6.2452,5.7961,6.1965,190703.04
2021-01-14 08:00:00,6.1965,6.8,5.9878,6.6114,431385.68
2021-01-14 12:00:00,6.6031,6.69,6.23,6.3605,286853.56
2021-01-14 16:00:00,6.3558,6.5898,6.2849,6.581,149212.27
2021-01-14 20:00:00,6.581,6.95,6.1059,6.74,417784.11
2021-01-15 00:00:00,6.749,6.7505,6.3735,6.4685,175293.73
2021-01-15 04:00:00,6.4735,6.5315,6.1407,6.2748,123076.84
2021-01-15 08:00:00,6.2674,6.4302,6.1292,6.2101,125528.78
2021-01-15 12:00:00,6.21,6.22,5.5097,5.5678,317028.44
2021-01-15 16:00:00,5.5826,5.9999,5.2074,5.8606,352211.99
2021-01-15 20:00:00,5.8827,6.5888,5.8417,6.4147,264708.44
2021-01-16 00:00:00,6.4237,6.6267,6.0701,6.25,147215.81
2021-01-16 04:00:00,6.2566,6.5698,6.1173,6.5234,73055.17
2021-01-16 08:00:00,6.52,6.5904,6.3869,6.4748,148855.4
2021-01-16 12:00:00,6.4704,6.5082,6.2692,6.5024,159357.9
2021-01-16 16:00:00,6.508,6.5101,6.2078,6.2511,139818.07
2021-01-16 20:00:00,6.2309,6.3681,6.0154,6.2097,156957.88
2021-01-17 00:00:00,6.2015,6.4583,6.0547,6.2623,93879.22
2021-01-17 04:00:00,6.2623,6.314,6.1125,6.1811,87712.85
2021-01-17 08:00:00,6.181,6.181,5.85,6.1068,119119.06
2021-01-17 12:00:00,6.1068,6.1465,5.95,6.0641,100482.88
2021-01-17 16:00:00,6.0641,6.2489,6.042,6.1393,77703.74
2021-01-17 20:00:00,6.1556,6.3,6.051,6.1786,125426.65
2021-01-18 00:00:00,6.1789,6.49,6.1447,6.1905,111457.36
2021-01-18 04:00:00,6.1847,6.4308,6.1414,6.37,88553.64
2021-01-18 08:00:00,6.37,6.4268,6.2031,6.2719,84009.3
2021-01-18 12:00:00,6.2616,6.8362,6.1801,6.707,234419.6
2021-01-18 16:00:00,6.707,7.39,6.6999,7.1866,451312.43
2021-01-18 20:00:00,7.1878,7.52,7.0653,7.2256,312407.46
2021-01-19 00:00:00,7.2389,8.3,6.95,8.2767,617680.93
2021-01-19 04:00:00,8.2778,8.45,7.9382,8.426,232353.0
2021-01-19 08:00:00,8.427,11.2,8.3438,9.4665,2357308.27
2021-01-19 12:00:00,9.4516,9.4656,8.4,9.0309,667231.89
2021-01-19 16:00:00,9.0293,9.86,8.53,8.828,1026034.53
2021-01-19 20:00:00,8.8358,9.4,8.6154,8.6483,201150.79
2021-01-20 00:00:00,8.65,9.1,8.3945,8.4615,189549.61
2021-01-20 04:00:00,8.4425,9.2,8.28,9.0502,265020.25
2021-01-20 08:00:00,9.0675,9.3,8.1662,8.2218,328158.92
2021-01-20 12:00:00,8.1967,8.4618,7.9103,8.0904,318873.89
2021-01-20 16:00:00,8.088,8.68,7.7612,8.52,229720.25
2021-01-20 20:00:00,8.5201,8.9144,8.315,8.5127,267848.68
2021-01-21 00:00:00,8.4972,8.5147,8.1397,8.2805,65596.03
2021-01-21 04:00:00,8.2913,8.3598,8.064,8.1979,87693.41
2021-01-21 08:00:00,8.1917,8.1917,7.3233,7.6,433945.01
2021-01-21 12:00:00,7.6,8.3,7.2444,7.6019,321239.55
2021-01-21 16:00:00,7.605,7.7605,7.3212,7.663,133437.42
2021-01-21 20:00:00,7.6641,7.8147,7.01,7.0437,250903.84
2021-01-22 00:00:00,7.0112,7.91,6.63,7.7661,382216.38
2021-01-22 04:00:00,7.767,7.9,7.365,7.404,109979.12
2021-01-22 08:00:00,7.4258,8.17,7.3731,8.0156,251245.25
2021-01-22 12:00:00,8.049,9.45,8.049,8.9273,657509.44
2021-01-22 16:00:00,8.9291,9.3421,8.8259,9.2652,238571.66
2021-01-22 20:00:00,9.2953,9.42,8.71,8.8427,149411.92
2021-01-23 00:00:00,8.8419,9.0764,8.5,8.8079,153136.79
2021-01-23 04:00:00,8.8045,9.3,8.7679,9.0898,134737.54
2021-01-23 08:00:00,9.0866,9.125,8.4396,8.447,184267.18
2021-01-23 12:00:00,8.4469,8.92,8.4101,8.6502,149368.26
2021-01-23 16:00:00,8.6502,8.7736,8.3675,8.5992,127516.79
2021-01-23 20:00:00,8.5945,8.784,8.3937,8.4209,84227.8
2021-01-24 00:00:00,8.4391,8.704,8.4,8.607,66863.86
2021-01-24 04:00:00,8.607,8.67,8.0963,8.519,124312.23
2021-01-24 08:00:00,8.52,9.15,8.5083,8.9372,186426.96
2021-01-24 12:00:00,8.9428,9.2,8.5,8.5128,131906.26
2021-01-24 16:00:00,8.5119,8.9122,8.3406,8.5101,123523.19
2021-01-24 20:00:00,8.5101,8.7955,8.5,8.792,79964.52
2021-01-25 00:00:00,8.793,9.3,8.7776,9.0871,194726.84
2021-01-25 04:00:00,9.098,9.1419,8.7156,8.7949,114694.54
2021-01-25 08:00:00,8.7816,8.8901,8.589,8.821,74876.84
2021-01-25 12:00:00,8.8209,9.0377,8.4178,8.7665,163747.0
2021-01-25 16:00:00,8.77,8.8348,8.321,8.3704,122953.65
2021-01-25 20:00:00,8.3745,8.623,8.0219,8.4235,201247.56
2021-01-26 00:00:00,8.4472,8.6682,8.1468,8.1468,79788.9
2021-01-26 04:00:00,8.1466,8.3213,7.9565,8.0908,79619.48
2021-01-26 08:00:00,8.0909,8.1641,7.6418,7.876,121279.02
2021-01-26 12:00:00,7.8955,8.3,7.5,8.13,300696.22
2021-01-26 16:00:00,8.13,8.9541,7.9745,8.4864,428540.19
2021-01-26 20:00:00,8.4738,8.5587,8.2765,8.3283,104057.23
2021-01-27 00:00:00,8.3197,8.3523,8.0614,8.17,59875.38
2021-01-27 04:00:00,8.1731,8.4334,7.9694,8.1285,104463.51
2021-01-27 08:00:00,8.1285,8.1285,7.5,7.5002,147293.62
2021-01-27 12:00:00,7.5059,7.905,7.1802,7.7406,283790.96
2021-01-27 16:00:00,7.7406,8.2866,7.4286,7.7625,223873.03
2021-01-27 20:00:00,7.7582,8.0,7.4423,7.4606,168295.03
2021-01-28 00:00:00,7.4606,7.67,7.2221,7.6501,106619.0
2021-01-28 04:00:00,7.6598,8.1,7.344,7.8765,174532.74
2021-01-28 08:00:00,7.8765,8.6452,7.8484,8.4,187787.9
2021-01-28 12:00:00,8.4098,8.7588,8.1273,8.3306,213323.9
