ts,open,high,low,close,volume
2022-06-01 08:00:00,1.44,2.2,1.257,1.317,49913871.77
2022-06-01 12:00:00,1.318,1.419,1.154,1.175,32006105.59
2022-06-01 16:00:00,1.175,1.318,1.039,1.244,34852842.41
2022-06-01 20:00:00,1.244,1.35,1.143,1.232,18382588.82
2022-06-02 00:00:00,1.234,1.309,1.145,1.182,14993399.02
2022-06-02 04:00:00,1.181,1.211,1.05,1.142,14303544.41
2022-06-02 08:00:00,1.142,1.301,1.111,1.286,15701038.13
2022-06-02 12:00:00,1.285,1.588,1.266,1.547,56899849.59
2022-06-02 16:00:00,1.546,1.633,1.371,1.449,40439486.43
2022-06-02 20:00:00,1.447,1.568,1.425,1.546,19652957.86
2022-06-03 00:00:00,1.546,1.653,1.511,1.531,26233622.93
2022-06-03 04:00:00,1.532,1.555,1.442,1.466,19578147.8
2022-06-03 08:00:00,1.467,1.478,1.289,1.332,23907089.84
2022-06-03 12:00:00,1.33,1.409,1.304,1.388,21770239.45
2022-06-03 16:00:00,1.389,1.4,1.312,1.346,8517953.53
2022-06-03 20:00:00,1.346,1.442,1.329,1.362,7903143.43
2022-06-04 00:00:00,1.362,1.384,1.297,1.322,9467212.8
2022-06-04 04:00:00,1.321,1.426,1.319,1.398,8233216.47
2022-06-04 08:00:00,1.397,1.484,1.358,1.378,17846126.54
2022-06-04 12:00:00,1.378,1.449,1.325,1.437,14667767.05
2022-06-04 16:00:00,1.437,1.446,1.356,1.403,9278586.28
2022-06-04 20:00:00,1.402,1.447,1.37,1.393,5272489.85
2022-06-05 00:00:00,1.393,1.435,1.35,1.361,10110289.04
2022-06-05 04:00:00,1.362,1.386,1.333,1.35,6541187.69
2022-06-05 08:00:00,1.35,1.362,1.278,1.32,8550966.03
2022-06-05 12:00:00,1.32,1.326,1.16,1.235,20384773.06
2022-06-05 16:00:00,1.236,1.272,1.202,1.227,9217209.12
2022-06-05 20:00:00,1.227,1.233,1.151,1.165,5710501.61
2022-06-06 00:00:00,1.166,1.283,1.14,1.274,12841329.76
